Date,Drugs,Rtail
201506,-0.23,-0.5
201507,3.58,5.84
201508,-9.02,-5.42
201509,-7.38,-1.72
201510,8.81,4.53
201511,0.38,0.59
201512,0.56,0.83
201601,-10.73,-4.47
201602,-1.44,-0.43
201603,2.35,5.99
201604,2.8,-0.34
201605,2.83,1.22
201606,-0.92,0.76
201607,6.73,3.85
201608,-3.69,-1.69
201609,0.05,-0.14
201610,-7.51,-3.55
201611,2.63,2.88
201612,0.6,-0.95
201701,1.24,0.92
201702,7.67,2.85
201703,-0.58,0.82
201704,0.42,3.4
201705,-0.92,0.54
201706,5.83,-2.41
201707,1.41,0.98
201708,2.65,-1.76
201709,1.97,2.76
201710,-3.62,3.3
201711,1.89,9.42
201712,0.37,2.54
201801,5.57,11.56
201802,-4.12,-4.72
201803,-2.67,-3.25
201804,-0.98,4.29
201805,1.06,1.36
201806,1.43,4.36
201807,6.85,3.55
201808,3.94,9.16
201809,1.7,0.61
201810,-8.23,-10.26
201811,6.73,1.59
201812,-8.05,-9.2
201901,4.13,8.84
201902,3.04,-0.08
201903,0.49,3.86
201904,-3.16,4.92
201905,-3.9,-7.03
201906,6.56,7.17
201907,-3.25,0.44
201908,-0.54,-0.12
201909,-0.46,0.96
201910,5.29,1.65
201911,5.47,2.06
201912,3.95,1.21
202001,-2.42,1.17
202002,-4.74,-6.16
202003,-2.47,-4.43
202004,13.09,18.64
202005,3.66,4.26
202006,-1.57,5.44
