Date,Fin  ,Rtail
201506,-0.63,-0.5
201507,-0.21,5.84
201508,-8.48,-5.42
201509,-4.82,-1.72
201510,7.83,4.53
201511,3.26,0.59
201512,-5.28,0.83
201601,-11.03,-4.47
201602,-1.92,-0.43
201603,6.95,5.99
201604,2.43,-0.34
201605,3.49,1.22
201606,-6.83,0.76
201607,7.18,3.85
201608,5.31,-1.69
201609,-1.19,-0.14
201610,-0.84,-3.55
201611,15.17,2.88
201612,3.45,-0.95
201701,1.37,0.92
201702,3.79,2.85
201703,-1.97,0.82
201704,-0.22,3.4
201705,-1.33,0.54
201706,6.37,-2.41
201707,3.21,0.98
201708,-1.91,-1.76
201709,6.53,2.76
201710,1.92,3.3
201711,5.66,9.42
201712,2.01,2.54
201801,5.02,11.56
201802,-1.45,-4.72
201803,-1.37,-3.25
201804,-1.52,4.29
201805,0.4,1.36
201806,-3.29,4.36
201807,2.49,3.55
201808,0.03,9.16
201809,-3.4,0.61
201810,-4.56,-10.26
201811,0.09,1.59
201812,-8.76,-9.2
201901,8.06,8.84
201902,2.77,-0.08
201903,-2.96,3.86
201904,9.08,4.92
201905,-7,-7.03
201906,6.34,7.17
201907,2.34,0.44
201908,-3.73,-0.12
201909,2.48,0.96
201910,0.81,1.65
201911,7.1,2.06
201912,0.73,1.21
202001,2.72,1.17
202002,-10.53,-6.16
202003,-16.95,-4.43
202004,13.83,18.64
202005,5.92,4.26
202006,0.6,5.44
