Date,RlEst,Rtail
201506,-2.99,-0.5
201507,1.52,5.84
201508,-11.08,-5.42
201509,-3.06,-1.72
201510,10.61,4.53
201511,-1.16,0.59
201512,-6.17,0.83
201601,-13.86,-4.47
201602,-4.85,-0.43
201603,11.71,5.99
201604,-1.35,-0.34
201605,-0.69,1.22
201606,-5.6,0.76
201607,5.69,3.85
201608,1.12,-1.69
201609,-3.27,-0.14
201610,-6.48,-3.55
201611,8.62,2.88
201612,4.64,-0.95
201701,-0.2,0.92
201702,8.67,2.85
201703,-0.05,0.82
201704,5.17,3.4
201705,0.65,0.54
201706,3.38,-2.41
201707,1.89,0.98
201708,-2.35,-1.76
201709,3.01,2.76
201710,2.87,3.3
201711,4.8,9.42
201712,0.17,2.54
201801,4.65,11.56
201802,-2.85,-4.72
201803,2.97,-3.25
201804,-1.73,4.29
201805,-1.78,1.36
201806,-0.98,4.36
201807,2.89,3.55
201808,-4.03,9.16
201809,-4.86,0.61
201810,-12.21,-10.26
201811,6.82,1.59
201812,-12.18,-9.2
201901,15.73,8.84
201902,5.6,-0.08
201903,-3.7,3.86
201904,4.88,4.92
201905,-13.37,-7.03
201906,11.33,7.17
201907,3.51,0.44
201908,-3.73,-0.12
201909,2.91,0.96
201910,2.88,1.65
201911,7.84,2.06
201912,4.66,1.21
202001,-1.4,1.17
202002,-9.83,-6.16
202003,-34.8,-4.43
202004,13.31,18.64
202005,6.38,4.26
202006,4.35,5.44
