,Food ,Fun  ,Drugs,Aero ,Gold ,Oil  ,Chips,Rtail,RlEst,Fin  
201506,-0.79,1.47,-0.23,-2.37,-13.31,-3.74,-5.91,-0.5,-2.99,-0.63
201507,3.55,8.03,3.58,-1.93,-26.27,-8.95,-2.72,5.84,1.52,-0.21
201508,-4.22,-7.79,-9.02,-5.08,-0.22,-3.69,-5.53,-5.42,-11.08,-8.48
201509,-1.73,-10.75,-7.38,-2.04,-5.7,-5.66,-0.82,-1.72,-3.06,-4.82
201510,5.44,15.14,8.81,9.42,18.08,12.54,8.88,4.53,10.61,7.83
201511,-1.59,-0.08,0.38,-0.52,-5.53,1.06,0.23,0.59,-1.16,3.26
201512,2.98,-1.55,0.56,-1.34,-1.96,-9.76,-5.9,0.83,-6.17,-5.28
201601,-1.13,-9.28,-10.73,-9.89,9.42,-4.64,-7.03,-4.47,-13.86,-11.03
201602,2.02,3.51,-1.44,3.83,31.7,-2.96,0.62,-0.43,-4.85,-1.92
201603,3.85,8.97,2.35,3.73,4.46,10.87,9.33,5.99,11.71,6.95
201604,1.24,-6.84,2.8,5.09,33.91,9.09,-7.89,-0.34,-1.35,2.43
201605,1.29,5.86,2.83,-1.77,-7.56,-0.95,6.48,1.22,-0.69,3.49
201606,7.47,-4.67,-0.92,0.82,23.78,2.65,-1.43,0.76,-5.6,-6.83
201607,0.22,6.45,6.73,4.06,16.04,-2.87,8.8,3.85,5.69,7.18
201608,-0.13,0.84,-3.69,0.11,-13.82,1.43,3.02,-1.69,1.12,5.31
201609,-3.08,6.37,0.05,-0.61,2.64,2.94,4.65,-0.14,-3.27,-1.19
201610,-0.12,6.47,-7.51,2.63,-5.44,-2.93,-1.11,-3.55,-6.48,-0.84
201611,-5.33,3.02,2.63,8.35,-11.35,9.52,2.53,2.88,8.62,15.17
201612,5.52,-2.61,0.6,1.43,2.27,2.25,2.96,-0.95,4.64,3.45
201701,1.02,5.66,1.24,1.91,10.47,-4.33,2.75,0.92,-0.2,1.37
201702,1.9,-0.18,7.67,6.73,-8.11,-2.33,7.1,2.85,8.67,3.79
201703,-0.85,6.32,-0.58,-1.63,-4.34,-1.24,3.46,0.82,-0.05,-1.97
201704,0.58,3.66,0.42,4.72,2.64,-2.79,-0.27,3.4,5.17,-0.22
201705,-0.15,2.67,-0.92,3.04,0.83,-3.47,6.51,0.54,0.65,-1.33
201706,-4.07,-0.36,5.83,1.64,-5.26,-0.19,-4.35,-2.41,3.38,6.37
