Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
201506,-7.59,-0.79,-2.34,-1.71,-2.57,0.46,1.47,0.12,-0.11,4.17,5.14,-0.15,-0.23,-2.8,-0.5,4.09,-1.8,2.95,-5.25,6.8,-1.4,-3.45,-2.36,-2.37,-9.17,-0.86,-13.31,-4.85,-23.5,-3.74,-5.37,-0.51,-3.69,-1.84,-4.58,-5.91,-0.61,-2.75,-3.34,-3.25,-2.66,-0.5,0.29,1.67,2.17,-2.99,-0.63,-3.83
201507,-2.72,3.55,6.67,3.51,9.59,-3.77,8.03,-2.97,0.71,5.96,1.65,4.9,3.58,-4.92,1.3,-0.72,1.6,0.68,-8.21,-19.29,-5.95,-4.29,-3.11,-1.93,5.11,9.16,-26.27,-10.67,-26.3,-8.95,2.61,1.41,2.25,5.26,2.89,-2.72,0.95,-0.49,-0.9,3.27,-1.28,5.84,4.17,2.72,1.65,1.52,-0.21,2.85
201508,-4.59,-4.22,-4.57,-3.12,-4.06,-4.83,-7.79,-8.76,-6.94,-3.86,-6.41,-5.37,-9.02,-7.22,-5.84,-3.11,-1.92,-2.56,-4.41,-4.55,-3.78,-8.97,-6.1,-5.08,-4.97,-1.69,-0.22,-1.67,7.86,-3.69,-4.01,-8.42,-1.28,-5.4,-8.2,-5.53,-7.6,-5.98,-3.58,-6.37,-4.27,-5.42,-6.48,-6.35,-5.58,-11.08,-8.48,-5.49
201509,-11.16,-1.73,2.15,2.58,2.37,-5.42,-10.75,-5.65,-0.53,1.18,-9.8,-5.85,-7.38,-8.29,-4.27,-5.92,-7.92,-5.02,-10.59,-21.15,-9.06,-8.8,-2.53,-2.04,-9.94,1.45,-5.7,-6.13,-36.74,-5.66,-0.56,-2.61,-1.53,-1.48,-2.35,-0.82,-4.79,-2.33,-4.97,-0.71,-6,-1.72,0.44,-3.24,-1.99,-3.06,-4.82,-2.04
201510,8.63,5.44,5.77,8.06,10.9,11.86,15.14,12.44,5.81,0.98,-4.3,6.54,8.81,16.63,5.75,7.96,8.09,2.66,5.9,-6.4,8.73,7.98,6.04,9.42,7.49,6.41,18.08,7.38,-30.98,12.54,2.07,8.85,4.41,11.42,5.87,8.88,7.56,10.25,9.78,6.48,5.17,4.53,5.05,5.6,5.23,10.61,7.83,7.1
201511,1.87,-1.59,2.36,-0.71,-3,-2.23,-0.08,-0.06,-1.1,-1.08,0.83,2.47,0.38,1.67,2.14,-2.59,3.11,6.33,-0.89,12.87,2.19,1.52,1.94,-0.52,1.31,0.01,-5.53,-6.15,10.12,1.06,-3.45,-1.92,-3.96,2.11,-3.03,0.23,5.24,0.02,-0.32,-1.1,2.7,0.59,-1.01,3.05,-0.25,-1.16,3.26,0
201512,2.07,2.98,0.42,0.31,1.6,-2.41,-1.55,-5.94,1.87,-4.37,-2.43,0.36,0.56,-4.79,2.76,-2.64,-4.24,-6.31,-2.65,-14.67,-6.07,-0.36,-4.13,-1.34,-8.83,-0.33,-1.96,-7.24,-7.34,-9.76,-2.36,-3.02,-6.66,-1.07,-2.82,-5.9,0.03,-3.9,-2.51,-5.01,-1.78,0.83,-0.94,-3.14,-0.8,-6.17,-5.28,0.29
201601,-6.73,-1.13,-1.33,-0.22,4.29,-1.78,-9.28,-5.66,0.17,1.53,-4.76,-4.03,-10.73,-11.08,-7.71,-5.32,-7.17,-10.2,-9.65,-7.37,-4.77,-8.2,-13.23,-9.89,-6.32,-2.18,9.42,-8.04,-3.31,-4.64,4.62,-0.36,-9.08,-5,-11.44,-7.03,-6.79,-4.45,-11.1,-8.52,-8.34,-4.47,-0.93,-10.74,-5.99,-13.86,-11.03,-3.14
201602,-0.47,2.02,-0.33,-2.32,0.95,8.15,3.51,-1.57,0.36,0.83,-2.86,1.35,-1.44,6.87,2.18,0.65,3.8,0.22,7.37,18.46,5.34,3.65,4.07,3.83,-1.04,2.95,31.7,8.01,6.28,-2.96,1.72,1.17,-2.81,-2.42,5.19,0.62,0.16,3.2,1.57,6.91,4.19,-0.43,1.05,-4.45,0.29,-4.85,-1.92,2.68
201603,-0.98,3.85,7.21,5.63,5.06,6.97,8.97,6.74,4.67,2.32,8.93,3.79,2.35,8.33,12.34,3.6,10.87,12.09,17.74,9.62,9.7,9.05,10.59,3.73,9.05,2.84,4.46,15.67,25.47,10.87,7.92,6.02,3,7.88,8,9.33,9.05,7.83,11.13,6.88,6.29,5.99,5.38,6.28,7.09,11.71,6.95,6.81
