Date,Drugs,Oil  ,RlEst
201506,-0.23,-3.74,-2.99
201507,3.58,-8.95,1.52
201508,-9.02,-3.69,-11.08
201509,-7.38,-5.66,-3.06
201510,8.81,12.54,10.61
201511,0.38,1.06,-1.16
201512,0.56,-9.76,-6.17
201601,-10.73,-4.64,-13.86
201602,-1.44,-2.96,-4.85
201603,2.35,10.87,11.71
201604,2.8,9.09,-1.35
201605,2.83,-0.95,-0.69
201606,-0.92,2.65,-5.6
201607,6.73,-2.87,5.69
201608,-3.69,1.43,1.12
201609,0.05,2.94,-3.27
201610,-7.51,-2.93,-6.48
201611,2.63,9.52,8.62
201612,0.6,2.25,4.64
201701,1.24,-4.33,-0.2
201702,7.67,-2.33,8.67
201703,-0.58,-1.24,-0.05
201704,0.42,-2.79,5.17
201705,-0.92,-3.47,0.65
201706,5.83,-0.19,3.38
201707,1.41,2.02,1.89
201708,2.65,-5.23,-2.35
201709,1.97,11.26,3.01
201710,-3.62,0.22,2.87
201711,1.89,2.89,4.8
201712,0.37,5.04,0.17
201801,5.57,2.85,4.65
201802,-4.12,-11.04,-2.85
201803,-2.67,3.1,2.97
201804,-0.98,10.31,-1.73
201805,1.06,3.44,-1.78
201806,1.43,0.53,-0.98
201807,6.85,1.02,2.89
201808,3.94,-2.9,-4.03
201809,1.7,3.55,-4.86
201810,-8.23,-12.1,-12.21
201811,6.73,-2.36,6.82
201812,-8.05,-13.27,-12.18
201901,4.13,10.45,15.73
201902,3.04,2.44,5.6
201903,0.49,2.04,-3.7
201904,-3.16,0.06,4.88
201905,-3.9,-11.91,-13.37
201906,6.56,8.91,11.33
201907,-3.25,-2.64,3.51
201908,-0.54,-8.86,-3.73
201909,-0.46,3.79,2.91
201910,5.29,-2.06,2.88
201911,5.47,1.26,7.84
201912,3.95,6.35,4.66
202001,-2.42,-11.99,-1.4
202002,-4.74,-15.44,-9.83
202003,-2.47,-34.8,-34.8
202004,13.09,32.87,13.31
202005,3.66,0.55,6.38
202006,-1.57,-0.32,4.35
