Date,Oil  ,RlEst,Fin  
201506,-3.74,-2.99,-0.63
201507,-8.95,1.52,-0.21
201508,-3.69,-11.08,-8.48
201509,-5.66,-3.06,-4.82
201510,12.54,10.61,7.83
201511,1.06,-1.16,3.26
201512,-9.76,-6.17,-5.28
201601,-4.64,-13.86,-11.03
201602,-2.96,-4.85,-1.92
201603,10.87,11.71,6.95
201604,9.09,-1.35,2.43
201605,-0.95,-0.69,3.49
201606,2.65,-5.6,-6.83
201607,-2.87,5.69,7.18
201608,1.43,1.12,5.31
201609,2.94,-3.27,-1.19
201610,-2.93,-6.48,-0.84
201611,9.52,8.62,15.17
201612,2.25,4.64,3.45
201701,-4.33,-0.2,1.37
201702,-2.33,8.67,3.79
201703,-1.24,-0.05,-1.97
201704,-2.79,5.17,-0.22
201705,-3.47,0.65,-1.33
201706,-0.19,3.38,6.37
201707,2.02,1.89,3.21
201708,-5.23,-2.35,-1.91
201709,11.26,3.01,6.53
201710,0.22,2.87,1.92
201711,2.89,4.8,5.66
201712,5.04,0.17,2.01
201801,2.85,4.65,5.02
201802,-11.04,-2.85,-1.45
201803,3.1,2.97,-1.37
201804,10.31,-1.73,-1.52
201805,3.44,-1.78,0.4
201806,0.53,-0.98,-3.29
201807,1.02,2.89,2.49
201808,-2.9,-4.03,0.03
201809,3.55,-4.86,-3.4
201810,-12.1,-12.21,-4.56
201811,-2.36,6.82,0.09
201812,-13.27,-12.18,-8.76
201901,10.45,15.73,8.06
201902,2.44,5.6,2.77
201903,2.04,-3.7,-2.96
201904,0.06,4.88,9.08
201905,-11.91,-13.37,-7
201906,8.91,11.33,6.34
201907,-2.64,3.51,2.34
201908,-8.86,-3.73,-3.73
201909,3.79,2.91,2.48
201910,-2.06,2.88,0.81
201911,1.26,7.84,7.1
201912,6.35,4.66,0.73
202001,-11.99,-1.4,2.72
202002,-15.44,-9.83,-10.53
202003,-34.8,-34.8,-16.95
202004,32.87,13.31,13.83
202005,0.55,6.38,5.92
202006,-0.32,4.35,0.6
