Date,RlEst,Fin  ,Rtail
201506,-2.99,-0.63,-0.5
201507,1.52,-0.21,5.84
201508,-11.08,-8.48,-5.42
201509,-3.06,-4.82,-1.72
201510,10.61,7.83,4.53
201511,-1.16,3.26,0.59
201512,-6.17,-5.28,0.83
201601,-13.86,-11.03,-4.47
201602,-4.85,-1.92,-0.43
201603,11.71,6.95,5.99
201604,-1.35,2.43,-0.34
201605,-0.69,3.49,1.22
201606,-5.6,-6.83,0.76
201607,5.69,7.18,3.85
201608,1.12,5.31,-1.69
201609,-3.27,-1.19,-0.14
201610,-6.48,-0.84,-3.55
201611,8.62,15.17,2.88
201612,4.64,3.45,-0.95
201701,-0.2,1.37,0.92
201702,8.67,3.79,2.85
201703,-0.05,-1.97,0.82
201704,5.17,-0.22,3.4
201705,0.65,-1.33,0.54
201706,3.38,6.37,-2.41
201707,1.89,3.21,0.98
201708,-2.35,-1.91,-1.76
201709,3.01,6.53,2.76
201710,2.87,1.92,3.3
201711,4.8,5.66,9.42
201712,0.17,2.01,2.54
201801,4.65,5.02,11.56
201802,-2.85,-1.45,-4.72
201803,2.97,-1.37,-3.25
201804,-1.73,-1.52,4.29
201805,-1.78,0.4,1.36
201806,-0.98,-3.29,4.36
201807,2.89,2.49,3.55
201808,-4.03,0.03,9.16
201809,-4.86,-3.4,0.61
201810,-12.21,-4.56,-10.26
201811,6.82,0.09,1.59
201812,-12.18,-8.76,-9.2
201901,15.73,8.06,8.84
201902,5.6,2.77,-0.08
201903,-3.7,-2.96,3.86
201904,4.88,9.08,4.92
201905,-13.37,-7,-7.03
201906,11.33,6.34,7.17
201907,3.51,2.34,0.44
201908,-3.73,-3.73,-0.12
201909,2.91,2.48,0.96
201910,2.88,0.81,1.65
201911,7.84,7.1,2.06
201912,4.66,0.73,1.21
202001,-1.4,2.72,1.17
202002,-9.83,-10.53,-6.16
202003,-34.8,-16.95,-4.43
202004,13.31,13.83,18.64
202005,6.38,5.92,4.26
202006,4.35,0.6,5.44
